Message,Label
Win a free recharge now,Spam
Please call me later,NotSpam
Your plan will expire soon,Spam
Are we meeting today?,NotSpam
Recharge now to continue service,Spam
Your data pack is about to expire today,Spam
"Bro, reach home and call me",NotSpam
Verify your KYC immediately to avoid suspension,Spam
"Class starts at 10 AM, don't be late",NotSpam
Special offer! Get unlimited calls for 30 days,Spam
Your SIM will be deactivated in 24 hours,Spam
Can you send me yesterday’s notes?,NotSpam
Free caller tune activated! Click to manage,Spam
I will meet you outside the metro station,NotSpam
Get 1GB free data on your next recharge,Spam
Your number has been shortlisted for cashback,Spam
Mom said to call her ASAP,NotSpam
Urgent: Update your digital ID to avoid service issues,Spam
Are we going to the match tonight?,NotSpam
Limited-time recharge discount! Act now,Spam
Your outgoing services have been restricted,Spam
"Lunch break in 5 minutes, come quickly",NotSpam
Congratulations! You get a free validity extension,Spam
"I’m stuck in traffic, will be late",NotSpam
Recharge your prepaid plan to resume calls,Spam
Your phone number needs immediate verification,Spam
Send me your current location,NotSpam
Free SMS pack unlocked for your number,Spam
Let’s meet at the tea stall near office,NotSpam
Last warning: Your KYC is incomplete,Spam
"Your data balance is low, recharge now",Spam
I will join the online meeting in 2 minutes,NotSpam
You have won bonus talktime today,Spam
Please bring my charger if you are coming,NotSpam
Claim your free 100-minute calling pack,Spam
Your monthly usage limit is exceeded,Spam
"I reached safely, don’t worry",NotSpam
Exclusive offer! Unlimited 5G for 1 day,Spam
Let's study together in the evening,NotSpam
Recharge pending! Service disruption soon,Spam
You are eligible for a ?150 cashback voucher,Spam
Pick me up from the bus stop,NotSpam
Your SIM upgrade request is pending,Spam
I will call you after the meeting,NotSpam
Complete eKYC to continue uninterrupted services,Spam
Click to claim your free weekend data pack,Spam
Can you drop by the shop while returning?,NotSpam
Your number is flagged for unpaid recharge,Spam
Dad is asking you to call him back,NotSpam
Free roaming pack activated automatically,Spam
Your OTP verification failed; try again,Spam
Let's plan for a trip next month,NotSpam
Free recharge coupon available—redeem now,Spam
"I’m on the way, 5 minutes more",NotSpam
"Your unlimited pack ends tonight, recharge to continue",Spam
"Bhai, can you call me after tuition?",NotSpam
Free upgrade to high-speed data available for your number,Spam
"I reached the station, where are you?",NotSpam
Your mobile number is selected for a surprise reward,Spam
Let’s meet at City Centre after 6 pm,NotSpam
"Pending bill detected, service may be restricted",Spam
Bring milk when you come home,NotSpam
Get extra talktime on your next recharge,Spam
I will drop by your house in the evening,NotSpam
"Your SIM renewal is due, complete it now",Spam
"Check WhatsApp, I sent the details",NotSpam
Enjoy free late-night calling for 7 days,Spam
Can you book the cab?,NotSpam
Recharge today to continue outgoing calls,Spam
"I’ll reach by 9, don’t wait outside",NotSpam
Congratulations! You unlocked a special data offer,Spam
Do you want to join for dinner?,NotSpam
Your number requires e-verification to avoid blocking,Spam
Meet me near the chai stall in 10 minutes,NotSpam
Free 3-month caller tune subscription for your number,Spam
Please remind me to submit the form,NotSpam
"Your digital KYC is incomplete, update immediately",Spam
I left the keys on the table,NotSpam
Get a bonus night-data pack on recharge above ?199,Spam
Let’s revise together before the test,NotSpam
Your service will be suspended in 6 hours,Spam
Can you send me the photo?,NotSpam
Special discount! Recharge pack available at 30% off,Spam
"Reached home, message me when free",NotSpam
Free OTT promo pack activated for you,Spam
Don’t forget to bring your notebook,NotSpam
Recharge alert: Only 50MB data left,Spam
"I sent the money, check once",NotSpam
Your cashback voucher expires tonight,Spam
I’ll join the call in 5 minutes,NotSpam
Complete your SIM verification to avoid penalties,Spam
Let’s go for a walk after dinner,NotSpam
Unlock free talktime by completing recharge today,Spam
Meeting at 4 pm?,NotSpam
Your incoming services will stop without verification,Spam
I’ve reached the coaching center,NotSpam
Free caller tune auto-renewal successful,Spam
Message me once you leave office,NotSpam
Last reminder! Recharge now to keep number active,Spam
What time is the match today?,NotSpam
Get festival special cashback on unlimited packs,Spam
I’ll bring snacks on the way,NotSpam
Your roaming services need immediate activation,Spam
Wait for me near the gate,NotSpam
